5	8	15	29220
7	7	13	12755
11	6	11	3244
9	6	13	13046
7	6	13	11283
5	6	17	87692
3	6	15	30163
5	5	18	68697
7	4	21	25716
5	5	24	21040
7	5	26	3787
5	6	27	6665
3	7	25	45643
1	7	25	48894
1	6	24	28514
7	6	22	49689
5	7	23	57771
3	8	24	46855
1	9	21	114888
-1	9	26	28243
-3	10	26	16217
1	10	24	6603
5	9	17	19957
7	9	13	2327
9	8	14	3209
7	8	17	21957
9	6	18	49948
5	5	15	18840
1	5	15	8504
3	5	19	51301
1	6	18	72543
3	5	21	43856
1	5	21	16895
-1	6	20	39345
1	5	19	24812
-3	7	21	44475
-9	10	19	42989
-5	9	24	35684
-1	8	25	55742
-3	8	25	27213
-1	7	22	91619
1	6	21	81607
-3	9	19	168117
-5	11	22	52194
-7	12	21	25780
-9	12	19	38278
-5	10	22	94398
-1	9	21	170793
3	7	20	178601
5	7	20	128072
11	5	12	7474
9	5	16	49223
7	5	20	79291
7	6	16	59232
9	6	10	1495
9	7	13	10789
11	6	10	1916
15	4	14	4444
11	5	17	31982
7	7	21	35729
-1	10	24	28653
-3	10	22	100041
-5	11	17	48460
-7	12	20	33189
-9	13	19	12895
-7	12	22	17269
-9	12	22	13438
-11	13	19	11304
-9	13	17	13217
-7	12	18	34305
-9	13	15	7287
-11	13	17	15790
-7	11	17	60043
-5	10	19	132974
-1	10	17	57113
3	9	20	55635
7	8	13	7263
11	6	12	7217
9	6	14	22946
7	8	14	13213
-3	10	15	30119
-9	11	17	56726
-3	8	19	133930
-3	9	21	170285
5	6	25	25197
3	7	28	6925
1	7	28	7342
3	6	27	7975
-1	7	28	2978
1	6	27	3812
5	5	25	11341
9	4	24	3343
11	4	22	3876
7	5	27	1825
5	6	30	518
7	6	28	507
5	7	28	1835
3	8	27	6989
5	7	27	4585
7	7	23	11705
9	6	24	1698
7	7	25	2241
3	9	21	44449
5	9	12	2345
7	9	17	1683
5	8	22	30985
1	9	17	76129
-1	9	17	95354
-3	9	13	11916
-5	10	16	57162
-5	9	11	2845
-7	10	11	2482
-9	11	12	5565
-9	11	18	65083
-13	13	16	11555
-15	13	14	6366
-13	12	14	14664
-11	11	15	27743
-13	11	13	10042
-11	10	15	17350
-9	9	18	15012
-13	11	14	11350
-9	10	17	53239
-5	8	17	58839
-5	9	15	41478
3	5	18	47057
1	6	20	88694
3	4	16	7207
-1	6	15	17193
-3	6	17	13305
7	6	21	72815
5	7	22	84356
5	5	22	51712
3	6	21	121715
7	4	19	37764
9	3	18	12907
11	3	16	14074
9	4	17	38345
1	7	15	37469
3	7	15	40987
-1	9	18	127298
-1	10	15	23589
-5	11	18	68363
-1	7	17	76595
-1	6	19	43613
5	4	17	19914
7	3	18	8496
7	4	17	30506
9	5	14	20793
5	7	15	41625
-5	9	14	21321
-1	7	16	49655
-5	7	12	2440
-3	7	12	3151
-5	8	9	229
1	6	15	23896
3	4	18	11388
-3	7	17	48823
-7	9	17	62652
-5	8	16	46972
-7	8	14	13503
-9	8	12	2489
-9	9	13	10777
-9	10	15	35291
-9	11	19	57296
-7	10	20	89749
3	7	30	1316
1	7	30	1578
3	6	29	1713
1	8	27	17600
-1	9	25	48588
1	8	26	32752
7	6	23	32420
7	5	24	16598
3	8	14	22197
-1	11	16	16046
-3	12	17	10482
-5	12	19	25548
-7	13	18	8625
-5	12	21	17344
-9	13	20	8798
-7	13	20	6119
-9	14	17	1863
-11	14	17	2852
-3	12	19	11645
-3	11	22	33278
1	10	20	39581
-1	11	19	24589
-3	11	19	50768
-1	10	21	82232
-5	12	18	23122
-3	10	18	99322
-3	9	16	63135
1	8	16	70915
-5	10	21	120499
-9	11	22	19216
-7	11	24	16666
-5	10	27	6676
-3	9	28	6904
-5	9	26	9917
-3	8	27	7006
-1	7	26	13232
-3	9	26	25475
-1	6	23	12592
